                                  ###############################										
                                  # XMAPTOOLS V1.6 PROFILE FILE #										
                                  ###############################										
										
%------------------------------------------N-O-T-I-C-E----------------------------------------------------										
Point mode analyses (standards) used for the standardization (details in De Andrade et al. 2006).										
This file is detailed in the user notice (http://www.xmaptools.com/?page_id=36)										
										
##### UPDATE 1.6 #####  (28 Dec 2012 - P. Lanari)										
"Due to the problems with this file, the format has been  "										
New case sensitive shortcuts (only > and the following number). 										
										
##### NEW FORMAT ##### 										
"!>1 Image coordinates (Microprobe dependent, see the XMapToolsCoordinatesTool.xls spreadsheet)"										
! xleft xright ybott ytop coordinates calculated using the XMapToolsCoordinatesTool.xls spreadsheet										
										
!>2 Oxides order (oxides separated by spaces or tab X and Y must be the two last values)										
! Oxides separated by spaces (see the list available in the user notice)										
										
!>3 Analyses (can be pasted from excel)										
! Analyses using the order defined in >2 (One anlysis by line)										
										
%---------------------------------------------------------------------------------------------------------										
										
					 					
>1 Here put in the image coordinates (from XMapToolsCoordinatesTool.xls)										
-8876	15124	18483	39603							
										
										
										
>2 Here define the oxides order 										
   Na2O  	   MgO   	   Al2O3   	   SiO2   	   K2O   	   CaO  	   TiO2 	   MnO 	   FeO  	X	Y
										
										
										
>3 Here paste the analyses 										
0.122697	0.242834	12.56903	9.641568	0.217885	0.111599	0.287887	0.091585	35.62653	-4479	26301
1.092577	1.293608	5.589739	5.258017	0.370292	0.627424	0.233284	0.123898	8.840562	-4478.8	26294.5
0.01562	4.05507	21.28566	35.4654	0.0391	1.930975	0.014675	1.360386	34.42601	-4478.6	26288.1
0.035379	4.090092	21.4962	36.16865	0.015195	1.735388	0.020069	1.419708	34.76735	-4478.4	26281.6
0.001832	4.138573	21.48741	36.87027	0.016249	1.751497	0.017404	1.44251	34.65399	-4478.2	26275.1
0.015567	4.152025	21.56074	36.91182	0.011179	1.764536	0.023565	1.460892	34.67395	-4478	26268.7
0.015158	4.240183	21.54162	35.6194	0.002967	1.726228	0.004661	1.436225	34.50876	-4477.8	26262.2
0.020802	4.245896	21.654	35.82825	0.010647	1.77586	0.027915	1.38255	34.4446	-4477.6	26255.8
0.022308	4.195146	21.63416	35.87268	0.00629	1.732763	0.023022	1.443848	33.69202	-4477.4	26249.3
0.0035	4.358381	21.6401	35.99833	0.000012	1.704233	0.029118	1.460415	34.59431	-4477.2	26242.8
0.013172	4.356953	21.64872	36.5652	0.018899	1.730463	0.000668	1.463388	34.66747	-4477	26236.4
0.00022	4.365256	21.64393	36.81006	0.000884	1.697514	0.000017	1.367984	34.49422	-4476.8	26229.9
0.018298	4.485509	21.65419	35.74003	0.000012	1.762539	0.005079	1.377378	34.3522	-4476.6	26223.4
